Year,est,lwr,upr,log_est,se,type
2012,531992.13071414,291035.279277691,972444.398645332,13.1843839763237,0.307752697317379,index
2013,499488.020543927,251043.014862752,993806.909159725,13.1213388938881,0.351006101095927,index
2014,854886.910351428,468723.214569829,1559196.57224772,13.6587244705758,0.306616225059766,index
2015,642760.037811331,335636.005025127,1230918.19715914,13.3735267419822,0.331508238800839,index
2016,819688.745280597,432343.304039349,1554065.0979494,13.616679968256,0.326385962392455,index
2017,566521.83490167,286139.729561466,1121644.27467739,13.2472709022232,0.34849383571209,index
2018,663413.109091725,350141.497788786,1256968.84286546,13.4051531657637,0.32605728454263,index
2019,450634.377626944,171044.491785329,1187242.8055391,13.0184115970727,0.49426041355477,index
2021,531935.195393411,282572.516369123,1001353.76127168,13.1842769477337,0.322754122516239,index
2022,717291.03208117,322459.925631879,1595567.02649442,13.4832369397098,0.407917084255593,index
2023,1071776.07107551,566287.270178918,2028482.72779843,13.8848277098705,0.325501357162064,index
2024,809803.850180652,431442.736842657,1519975.23603362,13.6045473370523,0.321259609115761,index
2003,307248.070793245,160019.926163723,589935.136637824,12.6354107484606,0.332841383117944,index
2004,329983.354124539,145665.759092277,747526.492690034,12.7067974901236,0.417215592567666,index
2005,437690.3702429,238786.643960569,802276.279049349,12.9892670221211,0.309159401793913,index
2006,273430.02338293,130727.254513671,571908.114840514,12.5188010121035,0.376503146376508,index
2007,457533.159991507,239622.842816394,873608.667818927,13.0336046419269,0.329997473959901,index
2008,366669.307495805,194060.286270585,692807.290163376,12.8122156513358,0.324644489700468,index
2009,520729.38131614,274284.753939716,988604.305091951,13.1629857641313,0.3270793114092,index
2010,400701.740782987,212988.069549557,753853.891469532,12.9009726409696,0.322445317534508,index
2011,510221.557598074,267063.17984701,974773.227769307,13.1426003370275,0.330291680920168,index
2012,501379.974046146,267024.619921722,941418.354787685,13.1251195238332,0.321446407294595,index
2013,543770.121664533,283137.07223226,1044320.84037553,13.2062818660604,0.332962981803059,index
2014,577362.799986694,331718.031674674,1004913.12192338,13.2662261173719,0.282752916324352,index
2015,432262.290013225,250763.293103356,745127.745991372,12.9767878357919,0.277823022409976,index
2016,405840.430836051,218786.424443005,752818.442554228,12.9137153338309,0.315242543539967,index
2017,306722.413046888,163890.064129712,574035.034795313,12.6336984255115,0.319774898467563,index
2018,415261.89679361,220279.487756151,782834.773610519,12.9366646767788,0.323481586308543,index
2019,359787.615372672,161184.950453397,803096.863642866,12.7932691790409,0.409681728923787,index
2021,320257.074628064,174759.683363864,586889.33211087,12.6768793104691,0.309042535483978,index
2022,421947.355820061,213526.745240149,833804.546982177,12.9526358359948,0.347515804941589,index
2023,745224.44063648,373802.298185018,1485703.72525391,13.5214407145905,0.352026056540131,index
2024,639906.102094562,346737.696107769,1180949.81911221,13.3690767290948,0.312634762601645,index
2003,687101.216645017,341500.906101597,1382450.45175549,13.4402368917133,0.356706187429733,index
2004,958724.246840798,492681.314459743,1865612.018366,13.7733587701198,0.339669990030714,index
2005,762502.956649005,382797.895226001,1518845.23438984,13.5443616650287,0.351587697673547,index
2006,326376.702483205,151957.50053178,700996.999496798,12.6958075223286,0.390033372750981,index
2007,562936.116401304,296932.984777637,1067234.31681494,13.2409214307037,0.326362976005884,index
2008,548427.271280167,274930.636475372,1093994.01878136,13.2148099542453,0.352320678266354,index
2009,810604.971397823,425714.265828693,1543477.56793115,13.6055361261428,0.328583825267966,index
2010,647539.895111221,356987.592407101,1174572.79938873,13.3809356847291,0.303821592861191,index
2011,1214234.15613158,663588.525163715,2221805.42611526,14.0096241118474,0.308274320988101,index
2012,645246.353822483,337884.554961833,1232204.46453446,13.3773874667667,0.330071322286762,index
2013,548955.473410689,299089.458600977,1007565.13852799,13.2157726123039,0.309839679108898,index
2014,439338.7037493,231025.036718476,835487.353898033,12.9930259293138,0.327936924703847,index
2015,511865.249370167,268834.68503757,974599.068108222,13.1458166845586,0.328559490752551,index
2016,480427.78497637,268430.760791029,859852.484481038,13.0824322046853,0.296987048614019,index
2017,524486.738432063,275595.403039979,998152.856530769,13.1701754222892,0.328315361510902,index
2018,477753.746218019,243471.490554309,937475.847811588,13.0768507034491,0.34393263143028,index
2019,639201.294923608,276702.898817217,1476595.64528781,13.3679746992826,0.427189001316556,index
2021,619706.543575087,309201.265678535,1242026.61107167,13.3370013281571,0.354727762630636,index
2022,1114981.11129916,573506.895168131,2167686.01917062,13.924348022194,0.339201530741252,index
2023,733471.315433114,413765.075866719,1300206.81285454,13.5055437693698,0.292092166864224,index
2024,840545.356612644,430305.92065401,1641893.50555359,13.6418061942209,0.341615724271966,index
2003,236363.618085988,115158.669733791,485137.246582011,12.3731266528648,0.366874322864064,index
2004,329473.276218129,156062.168470525,695573.057876673,12.7052505255935,0.381252313208612,index
2005,400632.915988743,212856.479681464,754060.828281286,12.9008008655601,0.32267299668647,index
2006,289070.18994362,159273.287959919,524642.743201666,12.5744248093832,0.304111716396105,index
2007,357523.643957679,174155.31198501,733960.707438992,12.7869567758738,0.366973068823649,index
2008,383321.601167787,209565.302454701,701143.978515228,12.8566296055537,0.3080867476724,index
